,MSE (Lucy Richardson),PSNR (Lucy Richardson),MSE (Deconv),PSNR (Deconv),,MSE 5x5 (Lucy Richardson),PSNR 5x5 (Lucy Richardson),MSE 5x5 (Deconv),PSNR 5x5 (Deconv),,MSE 7x7 (Lucy Richardson),PSNR  7x7 (Lucy Richardson),MSE 7x7  (Deconv),PSNR  7x7 (Deconv),,MSE 11x11 (Lucy Richardson),PSNR 11x11  (Lucy Richardson),MSE  11x11 (Deconv),PSNR 11x11  (Deconv),,MSE 15x15 (Lucy Richardson),PSNR 15x15  (Lucy Richardson),MSE  15x15 (Deconv),PSNR  15x15 (Deconv)
Baboon,0.0028,25.5593,0.0028,25.5553,,0.0056,22.5553,0.0056,22.5524,,0.0073,21.343,0.0073,21.3403,,0.0098,20.1086,0.0098,20.107,,0.0115,19.4038,0.0115,19.4037
Boat,0.0011,29.5929,0.0011,29.5926,,0.0023,26.4699,0.0023,26.4694,,0.0033,24.8223,0.0033,24.8211,,0.005,23.0486,0.005,23.048,,0.0062,22.0842,0.0062,22.0859
Cameraman,0.0003,34.9348,0.0003,34.9338,,0.0011,29.4162,0.0011,29.4142,,0.0023,26.4114,0.0023,26.4092,,0.0045,23.4575,0.0045,23.4572,,0.0063,22.001,0.0063,22.0037
Fruits,0.0006,32.411,0.0006,32.4097,,0.0014,28.4456,0.0018,27.5382,,0.0023,26.4027,0.0023,26.4014,,0.0037,24.2675,0.0073,21.3544,,0.0051,22.9148,0.0082,20.8374
Lena_color_512,0.0006,32.5908,0.0006,32.5902,,0.0012,29.1694,0.0012,29.1685,,0.0019,27.2717,0.0019,27.2704,,0.0032,24.9923,0.0032,24.992,,0.0045,23.4757,0.0045,23.4781
mandril_color,0.0032,24.9794,0.0032,24.9757,,0.0061,22.1728,0.0061,22.1698,,0.0079,21.0057,0.0079,21.0031,,0.0104,19.826,0.0104,19.8246,,0.0121,19.155,0.0121,19.1546
peppers,0.0006,31.9817,0.2483,6.0498,,0.0011,29.6227,0.0021,26.7312,,0.0016,27.8623,0.0016,27.8607,,0.0029,25.3657,0.0029,25.3647,,0.0043,23.6198,0.0043,23.621
pirate,0.0007,31.4259,0.0007,31.4247,,0.0016,27.9129,0.0016,27.9118,,0.0024,26.1598,0.0024,26.1579,,0.0038,24.1675,0.0038,24.166,,0.0052,22.842,0.0052,22.8426
woman_blonde,0.001,30.2008,0.001,30.2006,,0.0018,27.5001,0.0018,27.4996,,0.0024,26.1681,0.0024,26.1674,,0.0035,24.5612,0.0035,24.5613,,0.0046,23.4091,0.0046,23.4106
woman_darkhair,0.0002,36.0603,0.0002,36.0601,,0.0005,33.0804,0.0005,33.0797,,0.0008,31.1487,0.0008,31.1479,,0.0014,28.4909,0.0014,28.4952,,0.0023,26.4408,0.0023,26.4597
